county,state,pop_2010,pop_2018,pct_chg
Clark,Nevada,1952644,2231647,14.29
Crook,Oregon,20885,23867,14.28
Archuleta,Colorado,12046,13765,14.27
New Hanover,North Carolina,203286,232274,14.26
Davis,Utah,307906,351713,14.23
Iron,Utah,46263,52775,14.08
Alexandria city,Virginia,140740,160530,14.06
Coweta,Georgia,127919,145864,14.03
Park,Colorado,16280,18556,13.98
Madison,Montana,7697,8768,13.91
Snohomish,Washington,715507,814901,13.89
El Paso,Colorado,626904,713856,13.87
Indian River,Florida,138272,157413,13.84
Greenlee,Arizona,8332,9483,13.81
Liberty,Texas,75856,86323,13.8
Bell,Texas,312850,355642,13.68
Greenville,South Carolina,452672,514213,13.6
Elbert,Colorado,23143,26282,13.56
Minnehaha,South Dakota,169952,192876,13.49
Arlington,Virginia,209287,237521,13.49
Fulton,Georgia,925651,1050114,13.45
Reeves,Texas,13836,15695,13.44
Caldwell,Texas,38131,43247,13.42
Arapahoe,Colorado,574762,651215,13.3
Johnson,Texas,151248,171361,13.3
Carver,Minnesota,91403,103551,13.29
Thurston,Washington,252996,286419,13.21
Scott,Minnesota,130511,147381,12.93
Clark,Washington,426709,481857,12.92
James City,Virginia,67668,76397,12.9
Clay,Florida,191434,216072,12.87
Polk,Oregon,75545,85234,12.83
Valley,Idaho,9788,11041,12.8
Saline,Arkansas,107653,121421,12.79
Morton,North Dakota,27569,31095,12.79
Polk,Iowa,432362,487204,12.68
Glasscock,Texas,1232,1388,12.66
Juab,Utah,10263,11555,12.59
Dawson,Georgia,22288,25083,12.54
DeSoto,Mississippi,161781,182001,12.5
Towns,Georgia,10537,11852,12.48
Chaffee,Colorado,17808,20027,12.46
Frederick,Virginia,78564,88355,12.46
Logan,Oklahoma,42057,47291,12.45
Randall,Texas,121182,136271,12.45
Orleans Parish,Louisiana,347770,391006,12.43
Washington,Oregon,531645,597695,12.42
Flathead,Montana,90867,102106,12.37
Franklin,Ohio,1166261,1310300,12.35
Placer,California,350026,393149,12.32
Gunnison,Colorado,15355,17246,12.32
Union,Georgia,21368,24001,12.32
Sarasota,Florida,379937,426718,12.31
Hall,Georgia,180040,202148,12.28
Jefferson,Idaho,26221,29439,12.27
Palm Beach,Florida,1323648,1485941,12.26
Henry,Georgia,205091,230220,12.25
