"mu","phi","sigma"
0.01562886,0.706037611,0.006297501
0.0155363,0.079500973,0.005094523
0.01400281,0.390960698,0.007942192
0.01491674,0.316657965,0.004150816
0.01645783,0.331119159,0.004770929
0.01681633,0.568063888,0.006593205
0.01553398,0.269989976,0.007243099
0.01362562,0.904570111,0.005823043
0.01560817,0.229916457,0.005655382
0.01492583,0.229910075,0.008330706
0.01910185,0.084972551,0.006286966
0.01762419,0.400226311,0.005734213
0.009445377,0.744293523,0.010308706
0.007622491,0.986452309,0.009641618
0.01620391,0.702846062,0.006713083
0.01429251,0.901604526,0.005103669
0.01817899,0.609222302,0.007491483
0.01018302,0.236704496,0.006366504
0.01499734,0.540234521,0.00688525
0.02923436,0.940128506,0.007009081
0.006330839,0.801319903,0.006985245
0.002751002,0.993005984,0.007435116
0.01626759,0.247297833,0.005575649
0.01499957,0.641416643,0.006031211
0.00732906,0.818705631,0.006800168
0.002555646,0.88557184,0.008419269
0.01641255,0.701535755,0.007151865
0.0180488,0.228593576,0.006637527
0.01166671,0.70045915,0.006565202
0.01883998,0.97015085,0.008747549
0.0179775,0.366624456,0.007849067
0.01823435,0.442776641,0.004892762
0.01054417,0.868528058,0.00852477
0.01430901,0.096283457,0.006907998
0.01116199,0.783539089,0.008810425
0.01588912,0.396340334,0.005435158
0.001470076,0.659406593,0.007442157
0.01442979,0.312795369,0.005596453
0.008793238,0.965107489,0.008481413
0.01396933,0.29827725,0.006235285
0.01255329,0.638355708,0.008125478
0.01500946,0.156315211,0.005547697
0.004478831,0.754661042,0.008765509
0.006948112,0.5714421,0.008072149
0.01840157,0.332421057,0.005994236
0.01334767,0.586054283,0.004529594
0.009616014,0.853954888,0.006669338
0.004543644,0.95405809,0.005901279
0.01038214,0.745459876,0.010259234
0.01868635,0.319428025,0.004599541
0.01564609,0.587883722,0.006525604
0.01420877,0.449251129,0.006834092
0.01354394,0.845677042,0.006060529
0.01670473,0.540618492,0.004738163
0.01334746,0.874844435,0.007097059
0.0205832,0.768787647,0.004176827
0.01750329,0.265980162,0.004802278
0.01538313,0.427049831,0.005518188
0.02087817,0.509562368,0.006653727
0.0111565,0.274025272,0.005828706
0.02132109,0.956035694,0.00744795
0.01162045,0.7404104,0.006241818
0.001008676,0.734926146,0.00701837
0.01506173,0.956902285,0.008817555
0.01868357,0.875115403,0.008522437
0.007207621,0.565439267,0.005709267
0.01366796,0.238958781,0.006828357
0.01312899,0.25638869,0.006842538
0.006124584,0.870090883,0.006477198
0.01589371,0.666113206,0.008983859
0.01648002,0.629082531,0.007754863
0.01730275,0.033369002,0.005609635
0.02052718,0.963698749,0.006642841
0.009223226,0.382876475,0.007741343
0.01757815,0.60545554,0.005875012
0.01681339,0.462954774,0.003784167
0.01856239,0.725375218,0.007313128
0.01654751,0.923483507,0.006122914
0.01883517,0.761470521,0.005343377
0.01061315,0.20050579,0.006305354
0.001653514,0.876637477,0.005944732
0.01438964,0.500459974,0.00601029
0.01807907,0.479032763,0.006517714
0.0003200411,0.861067446,0.007571707
0.02692465,0.743219422,0.005687389
0.02457017,0.989983401,0.004838279
0.01532678,0.390467649,0.008993444
0.02012458,0.636490893,0.005532261
0.0007286772,0.94529107,0.00695727
0.005204595,0.978735212,0.006676197
0.005886253,0.605346351,0.01258623
0.006760372,0.967552595,0.005640057
0.007976457,0.715070745,0.006816146
0.009796406,0.937822874,0.005403935
0.01511482,0.874217508,0.005682292
0.01463248,0.259234368,0.004945404
0.01777387,0.32207125,0.004471957
0.001936341,0.901852799,0.008536423
0.001094191,0.878900787,0.008750684
0.01644339,0.131005757,0.006648709
0.006492186,0.966437143,0.008535931
0.01576059,0.896679657,0.007288852
0.0185277,0.286535795,0.004763517
0.007941386,0.920828562,0.005940825
0.01628049,0.422561533,0.006103405
0.005567774,0.683952311,0.005098926
0.001791859,0.880079015,0.007118732
0.0214383,0.961936284,0.006108808
0.0112677,0.322384654,0.005563088
0.01545699,0.249999645,0.004586622
0.009899796,0.591131307,0.006585514
0.007925208,0.949885683,0.008487958
0.01578889,0.09123367,0.006758281
0.01558889,0.21089987,0.004548893
0.01485706,0.141443481,0.007012241
0.01235371,0.325103045,0.006109623
0.02083465,0.601041409,0.006109157
0.01313686,0.004702872,0.006699426
0.01276348,0.167919389,0.007441092
0.01791396,0.575755366,0.012023468
0.009121363,0.360075118,0.007032247
0.012125,0.261497826,0.006698335
0.007640113,0.704251462,0.008210716
0.02113508,0.892444239,0.009864661
0.006710294,0.75245061,0.006541719
0.01475192,0.773691952,0.007905146
0.005219809,0.959459538,0.005955149
0.02001444,0.595964612,0.006133258
0.01449976,0.480066154,0.008762195
0.01231083,0.253786598,0.005591405
0.0007530335,0.963800508,0.006910613
0.01631923,0.279190417,0.005980556
0.02048826,0.758127147,0.006946948
0.009557902,0.851960848,0.0052356
0.015142,0.993301062,0.008600462
0.01424878,0.607674947,0.006205809
0.01451004,0.409030823,0.003885719
0.01389466,0.688409644,0.005817039
0.0105164,0.393914574,0.007268619
0.01299793,0.602269972,0.006382789
0.01164157,0.619106065,0.007944304
0.0209083,0.954557888,0.006754275
0.01477251,0.342705044,0.005800746
0.01669923,0.780859338,0.005991849
0.01286484,0.564906151,0.004970465
0.0007683285,0.936277448,0.007013332
0.000383207,0.807674029,0.007592058
0.0239498,0.660857366,0.006282815
0.01544338,0.646831654,0.007142469
0.01658367,0.398116264,0.005247721
0.001866211,0.94844302,0.00681855
0.004560384,0.996847572,0.006002584
0.01492059,0.47811469,0.00811548
0.01322283,0.324074409,0.005204709
0.0102561,0.602353938,0.007847314
0.008751819,0.849136017,0.007147929
3.861157e-05,0.725171801,0.009512871
0.004244471,0.990398761,0.005768536
0.01116762,0.16725415,0.012448475
0.01771612,0.157700946,0.008314702
0.01604108,0.752869103,0.004885181
0.005349429,0.574777067,0.006560689
0.004670883,0.96998079,0.007445366
0.008666431,0.364646023,0.009727719
0.01056786,0.476509048,0.010520681
0.01393973,0.534151017,0.006061002
0.0110709,0.839909437,0.005853246
0.0002374905,0.875208485,0.011092095
0.0102563,0.386367976,0.007173885
0.01668778,0.527232012,0.007016281
0.007407648,0.406255483,0.010481483
0.01360587,0.839950271,0.005372524
0.001381856,0.762557251,0.007362109
0.01430806,0.076257849,0.00616173
0.01399673,0.671724792,0.01028078
0.01427866,0.550070706,0.006512109
0.006353398,0.61189252,0.006235799
0.01527835,0.171431038,0.006086863
0.01032828,0.960792235,0.00707466
0.01222566,0.779518504,0.004809954
0.0182084,0.063013407,0.005641982
0.004167944,0.76645195,0.007246744
0.008292244,0.771049704,0.00930806
